"Lat_diff","DOM","followers","price","square","floor","subway","HouseAge","communityAverage","elevator"
0.496749999999999,109,54,75666,131.5,27,"0",5,75110,"1"
0.383869999999995,166,2,119507,155.64,18,"1",13,112184,"1"
0.630145999999996,107,48,38000,135,11,"0",5,37328,"1"
0.450240000000001,157,115,83651,131.5,28,"1",14,74411,"1"
0.381505999999995,154,44,83955,256.09,25,"1",16,92742,"1"
0.396606999999996,106,60,90982,202.02,16,"1",14,91904,"1"
0.522902999999999,138,36,40384,144.12,12,"0",12,36869,"1"
0.507075,165,52,51685,160.59,4,"0",14,52466,"0"
0.517561999999998,181,42,48104,148.43,10,"0",9,38384,"1"
0.324674999999999,117,34,74550,163.65,20,"1",9,72170,"1"
0.333937999999996,96,23,49313,149.05,11,"1",12,45031,"1"
0.196632000000001,95,103,25356,142.77,6,"1",13,29747,"0"
0.512065999999997,374,119,31680,168.88,6,"0",16,40934,"0"
0.319497999999996,109,60,44409,146.37,28,"1",16,51672,"1"
0.319297999999996,152,74,35460,217.15,6,"0",17,40471,"0"
0.212876999999999,163,62,54515,238.47,15,"0",5,55502,"1"
0.492807999999997,110,36,62909,134.8,25,"1",9,60785,"1"
0.370128999999999,111,50,85041,137.18,18,"1",4,69200,"1"
0.476939999999999,140,44,82957,154.9,18,"1",11,77726,"1"
0.256965999999998,155,38,51021,187.18,3,"1",15,43777,"0"
0.582857999999995,164,20,45051,139.4,20,"1",8,40113,"1"
0.630145999999996,102,41,37340,136.05,11,"0",5,37328,"1"
0.473796,92,19,21605,157.05,6,"0",16,29574,"0"
0.446394999999995,151,18,74718,214.14,14,"0",15,84282,"1"
0.434602999999996,90,43,49317,194.66,11,"1",14,67136,"1"
0.579003999999998,379,98,36990,156.8,17,"1",10,38883,"1"
0.494948000000001,142,155,77407,184.74,5,"1",12,75490,"0"
0.346426000000001,91,52,71089,149.11,26,"0",10,64222,"1"
0.522371999999997,170,30,42126,133.41,6,"0",12,38281,"0"
0.517795999999997,93,8,36465,137.12,32,"1",14,37661,"1"
0.417082000000001,136,15,54795,219,25,"1",11,47387,"1"
0.282514999999997,155,96,64861,138.76,15,"1",7,66193,"1"
0.517561999999998,159,69,44296,160.85,16,"0",9,38384,"1"
0.517725999999996,95,35,27907,172,6,"0",15,36411,"0"
0.187292999999997,162,119,39717,141,10,"0",5,35391,"1"
0.471530999999999,137,1,17806,248.8,6,"0",18,30962,"0"
0.522584999999999,108,79,31663,163.6,14,"1",14,33820,"1"
0.345624000000001,134,70,58807,134.34,21,"0",9,72269,"1"
0.343545999999996,94,51,91718,248.59,11,"1",12,90609,"1"
0.072299000000001,111,67,29145,187,11,"0",6,31106,"1"
0.432989999999997,158,19,77722,238.03,32,"1",17,62705,"1"
0.446303,158,50,71535,195.71,6,"1",19,65860,"0"
0.340336999999998,146,12,75863,187.84,22,"1",12,65702,"1"
0.352103,171,66,56847,140.73,28,"1",18,52587,"1"
0.520519999999998,87,23,38485,131.22,6,"1",14,41629,"0"
0.377077999999997,124,17,47693,195,4,"0",13,46112,"0"
0.582857999999995,101,14,43042,139.4,20,"1",8,40113,"1"
0.484991000000001,127,93,59667,150,21,"0",14,60611,"1"
0.358936,158,83,81583,147.09,14,"0",9,74295,"1"
0.511012999999998,106,42,35545,157.55,13,"1",16,34439,"1"
0.366530999999995,135,43,62571,150.23,11,"1",14,61359,"1"
0.340277999999998,137,106,50404,138.88,23,"1",12,59536,"1"
0.518667999999998,142,88,48587,134.4,6,"1",16,46352,"0"
0.419584999999998,180,157,82657,136.71,26,"1",18,75239,"1"
0.517561999999998,128,33,38978,138.54,20,"0",9,38384,"1"
0.343545999999996,128,60,94076,139.25,18,"1",13,90609,"1"
0.443155999999995,316,64,99714,233.67,18,"1",8,94063,"1"
0.378988999999997,91,64,78334,144,10,"0",8,79198,"1"
0.474125999999998,127,54,57785,172.71,14,"1",17,60338,"1"
0.285049999999998,105,21,70896,135.41,12,"1",12,64661,"1"
0.431362999999997,131,35,55252,186.42,32,"0",12,67738,"1"
0.358936,133,49,81083,160.33,18,"0",9,74295,"1"
0.435683999999995,141,62,96292,132.93,6,"1",18,90867,"0"
0.522584999999999,145,78,30170,152.47,32,"0",14,33820,"1"
0.440306,90,39,88605,145.93,13,"0",12,82194,"1"
0.421146,103,7,74613,152.79,6,"1",24,71712,"0"
0.418166999999997,157,59,102223,144,12,"1",14,91822,"1"
0.339967999999999,139,53,48535,206.04,6,"0",16,49581,"0"
0.517561999999998,99,38,34227,135.86,10,"0",9,38384,"1"
0.332777,96,80,93084,139.66,29,"1",15,97655,"1"
0.44708,147,55,84066,184.38,23,"1",11,76223,"1"
0.432989999999997,82,16,59203,270.26,32,"1",17,62705,"1"
0.511012999999998,121,34,33127,187.16,13,"1",16,34439,"1"
0.403068999999995,138,37,57387,156.83,16,"0",19,59060,"1"
0.442211,102,54,69127,133.09,22,"0",18,77070,"1"
0.36401,91,38,52558,142.7,21,"0",14,60013,"1"
0.552552999999996,138,56,34969,132.52,5,"0",13,41888,"0"
0.370725099999994,83,37,70423,142,22,"1",7,86411,"1"
0.485548999999999,136,9,59947,153.47,15,"0",12,52306,"1"
0.416385999999996,166,80,59741,159.02,20,"1",18,76694,"1"
0.404592999999998,133,66,63763,139.58,10,"0",8,63949,"1"
0.364449999999998,101,46,53679,141.21,29,"1",17,58126,"1"
0.550053999999996,87,46,40192,209,3,"0",17,44446,"0"
0.429819999999999,148,70,62122,183.51,19,"1",22,54582,"1"
0.406510999999995,133,84,62845,132.39,18,"0",9,57709,"1"
0.511012999999998,242,130,34240,186.92,13,"1",16,34439,"1"
0.382073999999996,93,33,52605,194.85,19,"1",23,62713,"1"
0.379587999999998,156,94,66294,143,27,"0",11,58092,"1"
0.427485999999995,81,65,94777,142.44,11,"1",12,79927,"1"
0.385590000000001,136,11,103600,250,18,"0",10,112125,"1"
0.444921999999998,186,191,72962,235.74,28,"1",11,95151,"1"
0.480671000000001,135,34,48725,147.77,30,"1",15,60688,"1"
0.366391,321,408,59272,166.86,14,"1",20,60027,"1"
0.512065999999997,82,166,29753,137.13,6,"0",16,40934,"0"
0.346426000000001,150,20,89160,148.05,19,"1",11,64222,"1"
0.312576,158,58,76544,405,13,"1",8,89166,"1"
0.238070999999998,84,49,42793,132.5,10,"0",7,43366,"1"
0.501582999999997,135,41,72244,143.68,10,"0",13,69655,"1"
0.414110000000001,79,66,79723,144,24,"1",18,83520,"1"
0.443883,78,28,121585,146.4,25,"1",5,109474,"1"
0.536608000000001,205,55,56427,143.55,6,"1",13,48298,"1"
0.358171999999996,83,155,39873,160.51,18,"1",12,55507,"1"
0.610886999999998,133,50,38155,135.5,14,"0",9,39766,"1"
0.562852999999997,91,76,31058,169.04,7,"0",17,38119,"0"
0.439569999999996,154,37,81741,178.37,8,"1",18,76971,"1"
0.382688999999999,116,106,95902,152.24,7,"1",17,100694,"1"
0.403161999999995,338,72,73316,216.87,23,"1",15,77663,"1"
0.197412999999997,124,45,43191,134.29,10,"1",14,39845,"1"
0.509567999999994,139,58,25339,236,6,"0",16,38156,"0"
0.511012999999998,117,22,40565,131.89,13,"1",16,34439,"1"
0.522584999999999,329,228,32951,195.75,13,"1",15,33820,"1"
0.419584999999998,120,54,65518,203,26,"1",18,75239,"1"
0.283466999999995,141,12,65643,161.48,6,"0",8,54824,"1"
0.495138999999995,129,18,92806,139,27,"1",6,81544,"1"
0.292878999999999,133,34,52981,182.71,14,"1",7,62947,"1"
0.512065999999997,108,35,25289,231.33,32,"0",16,40934,"1"
0.460750999999995,112,52,82967,232.02,10,"0",13,103884,"1"
0.415157000000001,422,59,82240,273.59,8,"0",10,81853,"1"
0.506063999999995,88,40,28777,166.8,6,"0",18,39114,"0"
0.419470999999994,80,87,94162,159.3,6,"1",17,127805,"0"
0.552552999999996,114,68,30971,134,4,"0",13,41888,"0"
0.510138999999995,122,91,64990,132.33,14,"0",9,63651,"1"
0.522584999999999,140,42,36665,148.1,32,"1",14,33820,"1"
0.330373999999999,75,18,65381,138.42,24,"1",16,81624,"1"
0.517561999999998,127,12,38577,156.83,18,"0",9,38384,"1"
0.509567999999994,85,64,33068,140.62,18,"0",16,38156,"1"
0.623939999999997,81,14,30537,149,5,"0",15,29442,"0"
0.476939999999999,125,56,85008,137.4,18,"1",11,77726,"1"
0.312064999999997,132,31,58849,139,25,"1",27,60647,"1"
0.333621000000001,149,377,59688,192.67,23,"1",19,74940,"1"
0.440185999999997,135,213,75109,133.14,15,"0",27,64544,"1"
0.511012999999998,69,43,34419,159.8,13,"1",16,34439,"1"
0.404585999999995,123,86,62473,135.26,9,"0",10,56107,"1"
0.412346999999997,88,74,52701,151.8,22,"1",19,75591,"1"
0.551124999999999,84,49,21038,196.32,7,"0",16,42786,"0"
0.429274999999997,129,36,40833,205.72,11,"1",13,41753,"0"
0.491651999999995,101,72,81014,135.78,10,"0",7,70362,"1"
0.432212999999997,120,128,70166,142.52,12,"1",18,64716,"1"
0.351016999999999,69,97,61332,134.84,33,"1",8,57333,"1"
0.506063999999995,74,9,34278,166,6,"0",18,39114,"0"
0.304254,124,32,49537,140.3,5,"1",14,46072,"0"
0.346052999999998,315,35,74205,155.65,22,"1",4,88828,"1"
0.570640999999995,140,38,30103,196,5,"0",21,31438,"0"
0.238070999999998,111,85,43741,131,10,"0",7,43366,"1"
0.419470999999994,117,101,103266,237.95,6,"1",15,127805,"1"
0.518919999999994,114,64,48841,139.23,6,"1",12,52980,"0"
0.438660999999996,75,75,55045,138.07,9,"0",16,60452,"1"
0.488485999999995,69,37,54551,139.32,25,"1",12,51678,"1"
0.228231000000001,72,23,55295,170,18,"0",4,54435,"1"
0.337727000000001,82,42,99278,138.5,28,"1",11,89617,"1"
0.411688999999996,126,123,69711,138,6,"0",4,64868,"1"
0.303840999999998,117,41,33708,178,25,"1",16,36432,"1"
0.362246999999996,77,10,50821,140.1,22,"0",16,53994,"1"
0.332777,114,77,104384,177.04,28,"1",15,97655,"1"
0.426465999999998,83,51,85182,135.71,24,"1",16,79739,"1"
0.303840999999998,66,4,43345,136.58,17,"1",11,36432,"1"
0.512032999999995,65,17,47456,136.97,9,"0",14,49371,"1"
0.367607999999997,150,0,58817,170.02,11,"1",12,57991,"1"
0.395024999999997,112,13,72882,177,16,"1",15,77837,"1"
0.346426000000001,102,8,86207,145,20,"1",9,64222,"1"
0.522584999999999,108,125,27272,173.44,13,"1",14,33820,"1"
0.517725999999996,155,53,34235,170.88,6,"0",14,36411,"0"
0.517795999999997,161,19,36024,163.78,33,"1",14,37661,"1"
0.522584999999999,126,131,32324,147.57,13,"1",14,33820,"1"
0.506063999999995,112,20,35448,154.03,6,"0",18,39114,"0"
0.522584999999999,104,0,33942,137,17,"1",14,33820,"1"
0.522584999999999,128,7,32304,164.07,32,"1",14,33820,"1"
0.512065999999997,134,12,28175,167.74,6,"0",16,40934,"0"
0.517795999999997,107,20,29197,163.72,32,"1",14,37661,"1"
0.522584999999999,118,20,26892,191.51,32,"0",14,33820,"1"
0.517725999999996,64,55,34976,134.38,7,"0",15,36411,"0"
0.519208999999996,63,0,43590,156,6,"1",12,37700,"0"
0.522584999999999,210,71,35278,188.22,13,"1",14,33820,"1"
0.522902999999999,113,64,38143,228.09,12,"0",12,36869,"1"
0.517561999999998,72,10,38206,138.46,20,"0",9,38384,"1"
0.522584999999999,117,0,31866,160.36,13,"1",14,33820,"1"
0.517725999999996,71,2,22416,220.83,7,"0",14,36411,"0"
0.363709999999998,121,54,49805,216.85,21,"1",17,50884,"1"
0.442380999999997,134,67,70466,146.17,21,"1",14,72473,"1"
0.519332999999996,69,16,32436,209.65,5,"1",14,40638,"0"
0.509567999999994,69,14,32893,141.37,17,"0",16,38156,"1"
0.394526999999997,107,144,41055,130.07,6,"0",12,41805,"0"
0.334044999999996,66,64,50609,141.28,16,"0",13,48528,"1"
0.528103999999999,130,13,45886,163.45,6,"1",14,47698,"0"
0.370725099999994,126,0,82007,146.33,32,"0",6,86411,"0"
0.411688999999996,69,44,62500,156,6,"0",4,64868,"1"
0.334044999999996,66,24,51946,147.27,9,"0",13,48528,"1"
0.534932999999995,80,79,29513,205,12,"1",14,45162,"1"
0.596499999999999,360,122,37605,140.41,9,"0",10,37221,"1"
0.517795999999997,99,56,30197,176.18,32,"1",14,37661,"1"
0.530994999999997,62,21,37288,158.23,6,"0",13,37735,"0"
0.294215000000001,123,61,56532,134.97,18,"1",14,50347,"1"
0.374558,67,40,54251,239.63,14,"1",22,56427,"1"
0.511012999999998,78,18,39722,132.17,13,"1",16,34439,"1"
0.667012,98,47,34690,134.91,6,"1",14,36861,"0"
0.364449999999998,77,75,54529,141.21,29,"1",17,58126,"1"
0.506974,76,2,26948,256.8,14,"0",16,37870,"1"
0.379734999999997,110,31,41188,156.6,18,"0",9,39994,"1"
0.342276999999996,130,36,100027,191.45,16,"1",10,95184,"1"
0.511806999999997,74,14,32516,163,6,"0",17,35931,"0"
0.526509999999995,57,33,33101,134.74,5,"0",17,38270,"0"
0.304573999999995,225,13,52793,147.18,31,"1",17,49788,"1"
0.493670999999999,285,39,50022,279.88,5,"0",8,47235,"1"
0.522584999999999,70,35,27915,197.03,32,"1",14,33820,"1"
0.374642999999999,107,31,34730,141.09,6,"0",21,36953,"0"
0.416432,100,44,106626,135.99,27,"1",15,91516,"1"
0.490195999999997,356,28,59758,159.31,11,"1",10,61727,"1"
0.343618999999997,74,25,46184,139.66,10,"0",5,45026,"1"
0.528712999999996,106,36,48151,130.01,6,"1",12,47677,"0"
